STATEFIP,YEAR,mean_abstract,mean_routine,mean_manual,mean_rti,total_emp,n_obs
1,1977,3.118157652032487,2.8056774253721413,3.312756169268817,-1.26564598868889,3757673.51,2512.0
1,1978,3.0988713697209276,2.83378078212015,3.346109019480204,-1.26209859760853,7272990.160000001,4988.0
1,1979,3.080069712362499,2.833175158455872,3.347115893774597,-1.2566635733766405,7813500.279999999,5160.0
1,1980,3.068924619156473,2.8415017059551873,3.34863623730064,-1.2503260771459195,7820746.620000001,5856.0
1,1981,3.077581999905057,2.8161748467631047,3.2953018006806114,-1.2433284423854862,7401964.78,5082.0
1,1982,3.096882417682675,2.7971124213349756,3.2602730294473536,-1.243679751512507,6791689.76,4516.0
1,1983,3.1144238138862654,2.7451725860545815,3.2420837857780964,-1.2639632364846827,7323407.46,4747.0
1,1984,3.110930180030001,2.7759394535679607,3.2704784944460963,-1.2637571219812307,7897232.84,4488.0
1,1985,3.1111335213127167,2.7667281384802567,3.1968938609461586,-1.2413216759761139,7939714.6,3403.0
1,1986,3.130589347119268,2.7582500043219254,3.2026692815711644,-1.2524990410448869,8552547.89,3194.0
1,1987,3.115104421062708,2.7728133884928066,3.240863617927012,-1.2555197636936732,8719729.56,4051.0
1,1988,3.1324307085824485,2.735454466051183,3.2461218016043354,-1.2740604180922026,8537494.36,3930.0
1,1989,3.137615064698789,2.741370571800367,3.215361036285117,-1.2635107729551007,8936095.66,3953.0
1,1990,3.1420755431077807,2.759956985216285,3.2218184807011108,-1.2609678570743394,8775989.36,3967.0
1,1991,3.1056173099523496,2.7729347499576273,3.235295763930099,-1.2515349000813907,8724742.93,4086.0
1,1992,3.104374516324587,2.7966013556900986,3.2538119365315588,-1.2482427987284954,8928330.39,4140.0
1,1993,3.1007651087896475,2.7856529849406364,3.236796434776909,-1.2447776374657664,9269668.25,4144.0
1,1994,3.14128925915702,2.7540435133360446,3.223858645129689,-1.264324990003617,9460393.4445,3916.0
1,1995,3.1484045213712366,2.7670094251066075,3.1825348124073933,-1.2487166868939787,9811928.7107,3917.0
1,1996,3.1712363340889484,2.746236710563327,3.171734187269463,-1.2584246290621506,9927186.6972,3808.0
1,1997,3.171354617462784,2.7351836348811704,3.1410519896428037,-1.2519311028691484,10268876.6721,3895.0
1,1998,3.191109756071933,2.7336268693572703,3.129916404937162,-1.2557684262549962,10201181.511200001,3836.0
1,1999,3.200972776779545,2.7318737954211336,3.129422171556534,-1.2580211210422858,10344757.3733,4015.0
1,2000,3.1768965037755383,2.7173025422762254,3.108297737368505,-1.2512096003968916,10294232.4974,4094.0
1,2001,3.168611669347537,2.7035209435291954,3.131878189001673,-1.2605141991974589,10066536.8883,4614.0
1,2002,3.2084606994866074,2.690865568282031,3.077673144693613,-1.2573619203351694,9802941.8674,4668.0
1,2003,3.1821991564643364,2.7277061181384186,3.132725656571441,-1.2571186872585864,10348716.294,4582.0
1,2004,3.163455540527481,2.733142061638829,3.182721629069361,-1.264877068804067,10345218.515500002,4279.0
1,2005,3.1877126195653114,2.7469070535272366,3.217284071264866,-1.2780015256788648,10428003.873399999,3567.0
1,2006,3.162339929066393,2.720906603487061,3.194231530039754,-1.2736549638218315,10352895.283999998,3330.0
1,2007,3.1897951299908165,2.72827913571139,3.175974959318159,-1.2731961513427463,10432672.280000001,3263.0
1,2008,3.1740889117567397,2.727035855152964,3.160573556374538,-1.262104218447023,9960882.520799998,3123.0
1,2009,3.2160183794630623,2.6954394185367727,3.141598480758237,-1.2804412551485682,8823696.9081,2851.0
1,2010,3.163518710437264,2.7516223697480027,3.229455075685455,-1.2776787856153164,9158921.9855,2908.0
1,2011,3.2125169388358095,2.7376755455793575,3.141673656848236,-1.268506511802179,9378225.3069,2885.0
1,2012,3.214711202417014,2.722940527668024,3.1576020661538937,-1.2764125095628813,9294296.1847,2792.0
1,2013,3.1976400568342784,2.7229042190160153,3.139566994741891,-1.2635862632233117,9645424.977699999,2846.0
1,2014,3.162353468321936,2.7342912700250244,3.1973621281128155,-1.2690284828494622,9713837.788700001,3626.0
1,2015,3.1760856321915196,2.73762105092959,3.189123501526934,-1.270256321670569,9558606.8007,4754.0
1,2016,3.201980187166248,2.712577517098245,3.132064663640394,-1.2672585866875328,10079033.002799999,5342.0
1,2017,3.199966252054855,2.720320150334887,3.1625897529922957,-1.2716188842378715,10627032.6602,5663.0
1,2018,3.2099664674571096,2.704269098037522,3.145863277529095,-1.2742827441935372,10493211.798700001,5377.0
1,2019,3.2273780828463443,2.6959700186779747,3.1345279225604563,-1.2807158458272612,10739346.8211,5284.0
1,2020,3.237699711662961,2.692228885155147,3.105964603513471,-1.2770117513123649,10282028.2238,4575.0
1,2021,3.23682378706961,2.7088074224631753,3.1292103644621743,-1.2780631997786565,10484178.2696,4869.0
1,2022,3.2249452731616834,2.7164729291725656,3.1631966106375864,-1.2825203783613095,11652285.232900001,5046.0
1,2023,3.239915611095756,2.6846247893464326,3.124071849143053,-1.2834009624351537,11581282.2756,4665.0
1,2024,3.2304385123236465,2.7098420573715165,3.159900078679703,-1.284644077029473,11442872.3051,4214.0
1,2025,3.2498631112043688,2.672181102172378,3.092463662200371,-1.2826817773581745,10505591.1171,3590.0
1,2026,3.289081781617643,2.643194931557077,3.0437972702542173,-1.2832845822881,1764186.2299,557.0
2,1977,3.220095104936715,2.650679767271544,3.067520217645212,-1.2688888241405738,345591.64,2330.0
2,1978,3.1880357640308157,2.658745000534725,3.0600124715807295,-1.2555791811757466,743341.3300000001,4431.0
2,1979,3.2229154634204726,2.6599898435022737,3.0605197157595287,-1.264416969413107,720988.32,4035.0
2,1980,3.208864004345033,2.6821421644336625,3.0533323598989988,-1.2496774581964956,790475.7500000001,4087.0
2,1981,3.2046357246804673,2.6971152531544536,3.095866297276057,-1.2556829605071238,847099.3999999999,4266.0
2,1982,3.2061356414982964,2.6598877620342884,3.0732612107763866,-1.2628179913297541,866273.6499999999,4769.0
2,1983,3.2150776439378412,2.638176266161108,3.0955916487882966,-1.2828218213678697,1012751.5599999999,5480.0
2,1984,3.21554521354861,2.63736769211041,3.0873364648387236,-1.280098566745325,1160997.7,5552.0
2,1985,3.2243148942564437,2.643568337817092,3.1074157033989787,-1.285867939305803,1202282.6800000002,5776.0
2,1986,3.2318814947072694,2.6106527494513885,2.9948276139162977,-1.263217518279435,1143839.3800000001,5524.0
